         395618 function calls (373509 primitive calls) in 1.928 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       83    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       79    0.001    0.000    0.007    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
    79/57    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
       77    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       76    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       76    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       74    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       74    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       69    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       69    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       68    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
       68    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
       64    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       64    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
       64    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       59    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       58    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       58    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       57    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       57    0.001    0.000    0.004    0.000 typing.py:687(Union)
    56/16    0.001    0.000    0.022    0.001 css_parser.py:925(parse_selectors)
       56    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       52    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       50    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
    48/37    0.000    0.000    0.331    0.009 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
    44/32    0.000    0.000    0.016    0.000 css_parser.py:579(parse_pseudo_class)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       42    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       41    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       40    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
    40/31    0.000    0.000    0.016    0.001 css_parser.py:746(parse_pseudo_open)
       40    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       34    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       34    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       34    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       33    0.000    0.000    0.000    0.000 typing_extensions.py:3105(_check_generic)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       29    0.000    0.000    0.000    0.000 typing.py:1542(<genexpr>)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:531(__setattr__)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:522(_is_dunder)
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       27    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       23    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       23    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       23    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
       23    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
       23    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       22    0.000    0.000    0.003    0.000 enum.py:528(__new__)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       22    0.000    0.000    0.002    0.000 typing.py:740(Optional)
       22    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
       22    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       18    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       18    0.000    0.000    0.000    0.000 _deprecation.py:51(_deprecated_function_alias)
       18    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       17    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
    16/12    0.000    0.000    0.525    0.044 {built-in method builtins.__import__}
       16    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       16    0.002    0.000    0.005    0.000 enum.py:1708(convert_class)
       16    0.000    0.000    0.022    0.001 css_parser.py:1149(process_selectors)
       16    0.000    0.000    0.050    0.003 css_parser.py:306(__init__)
       16    0.000    0.000    0.000    0.000 css_parser.py:459(__init__)
       16    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
       16    0.000    0.000    0.000    0.000 enum.py:1411(<lambda>)
       16    0.000    0.000    0.000    0.000 enum.py:1692(_simple_enum)
       15    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       15    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       15    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       15    0.000    0.000    0.000    0.000 ssl.py:938(_sslcopydoc)
       15    0.000    0.000    0.000    0.000 enum.py:828(__members__)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       14    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
       14    0.000    0.000    0.000    0.000 typing_extensions.py:760(__hash__)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
       14    0.000    0.000    0.001    0.000 typing.py:1519(__getitem__)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       13    0.001    0.000    3.400    0.262 __init__.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:1515(copy_with)
       13    0.000    0.000    0.001    0.000 typing.py:1533(__getitem_inner__)
       12    0.041    0.003    0.041    0.003 {built-in method posix.listdir}
       12    0.000    0.000    0.031    0.003 <frozen zipimport>:64(__init__)
       12    0.000    0.000    0.033    0.003 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       12    0.000    0.000    0.041    0.003 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       12    0.000    0.000    0.065    0.005 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       12    0.000    0.000    0.030    0.002 <frozen importlib._bootstrap_external>:164(_path_isdir)
       12    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       12    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       11    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       11    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       10    0.001    0.000    0.006    0.001 enum.py:919(_convert_)
       10    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        9    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 css_types.py:394(pickle_register)
