         395630 function calls (373519 primitive calls) in 0.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _client.py:594(Client)
      357    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      186    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
       12    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
       64    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _client.py:188(BaseClient)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.000    0.000 _status_codes.py:8(codes)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        6    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:98(EntitySubstitution)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 _client.py:1307(AsyncClient)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:531(__setattr__)
        3    0.000    0.000    0.000    0.000 typing.py:381(decorator)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 tempfile.py:1(<module>)
      119    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
